username,useraddress,rating,review_date,review_text
R M.,"New York, NY",2 star rating,"Oct 11, 2023","I'm a local in this neighborhood and was happy to see the arrival of new food options beyond pizza/desserts... but the prices are absurd for what is essentially a glorified food court (that charges & expects you to tip like you're in a sit down restaurant). And the crowds/ongoing noise have tarnished what used to be a lovely, quaint block.It's purely for tourists and influencers doing a one time visit to enjoy some nearby waterfront views. You'll get a decent variety at least."
Bishal B.,"Manhattan, New York, NY",4 star rating,"Oct 7, 2023","Clinton St. Baking CompanyBlueberry Pancakes: Some of the best pancakes I've ever tasted. They were delightfully soft on the inside with a perfect texture on the outside.Service: Be prepared for a busy crowd, especially during peak hours, which might result in longer wait times for your order.Ambiance: Clinton St. Baking Company is part of the Time Out Market, so you may need to exercise patience while waiting for available seats."
Harris P.,"Pasadena, CA",4 star rating,"Sep 29, 2023","About 10 minutes walk from subway station.The day I visited was raining (really bad) so they closed the outdoor seating (first and fifth floor). I'm pretty sure the view of Manhattan city line and the bridge will be super nice if there's no rain.Most of food located in first floor, a lot of seating indoor and outdoor (connected to the waterfront), fifth floor has bar and pizza, sushi, cozy coach seating indoor plus great view outdoor patio seatings."
Jennifer R.,"Boston, MA",5 star rating,"Sep 23, 2023","The Timeout Market is a gem for anyone looking to satisfy their cravings. With its diverse lineup of food options, it's paradise under one roof. What's more, you can step outside to capture stunning photos, taking in the breathtaking view of the bridge.During my visit to Timeout Market New York, my partner and I had the pleasure of eating at Bark Barbecue, and we were absolutely smitten by the flavors. If you find yourself in the area, make sure to put this culinary haven on your must-visit list. You won't be disappointed! Also, Ruben the owner of Bark is very welcoming and kind. Support his busi"
Katey G.,"New York, NY",4 star rating,"Jul 16, 2023","Timeout Market continues to be a great destination in the Dumbo area.I do love the diversity of Time Out Market. Weather you want Indian, pancakes, pasta, or fried chicken - you can find it here.Most recently I got a pizza from Fornino, which is kind of f hidden on the top floor (there's also a little balcony rooftop that should not be missed). They had a seasonal corn pizza on the menu which was delicious - I really loved it. I also got the arancini which were disappointing, the aborillo rice inside was still crunchy :/ I believe they used to be served with a truffle aioli which I miss.What's cool about Time Out is that you can pickup food and sit at one of their two bars and order cocktails. We sat at the bar counter and enjoyed our food."
Melissa R.,"Claremont, CA",5 star rating,"Aug 12, 2023","A couple of friends and I visited New York earlier this year to celebrate my birthday. One of my friends had never been to NY before, so we decided she needed to see the Brooklyn Bridge, one of my favorite landmarks of the city. After a terrible rideshare driver decided not to leave us on the Manhattan side and instead dumped us off on the Brooklyn side, we decided to hang out in Brooklyn for a while. (Side note, I love Brooklyn, but we were short on time, so hanging out in Brooklyn wasn't part of the original itinerary, and we just wanted to walk on thr bridge from the Manhattan side, leaving it open to go to Brooklyn, only if we had time to spare.)Anyway, while we were stranded in Brooklyn trying to figure out the best way back, I stumbled upon Timeout Market. Being a lover of food halls, I dragged my friends inside to check it out, and we are so glad we did!I loved the amazing view of both bridges from their rooftop, the fact that you can enjoy a nice cocktail with this lovely view, and the variety of eateries! We decided to have lunch there, with each of us trying food from different vendors, and we were all pleased. I definitely plan to return the next time I visit Brooklyn!"
Ben L.,"Brooklyn, NY",4 star rating,"Oct 22, 2023",Lovely food court to come and spend a few hours in. Their rooftop is amazing. Unfortunately it was packed with foreigners so it's not the real New York vibe but aside from that it's a nice place to hang out in.
Andrea U.,"Boynton Beach, FL",5 star rating,"Aug 26, 2023","The market has really expanded into a huge indoor, outdoor and rooftop food hall. Everything imaginable from liquor to ice cream, sushi, barbecue... Lots of clean seating, helpful staff, and endless views of Manhattan and the Hudson River."
Anna P.,"Manhattan, NY",5 star rating,"Sep 3, 2023","This is now my favorite food hall in NYC! I absolutely love all the outdoor seating options and the quality of the vendors there. We started off with tofu pad Thai from Wayla, which was a 10/10. It was full of flavor and the noodles were fantastic.Then we had blueberry pancakes from Clinton Street Baking Co. I'm not exaggerating when I say these were the best pancakes I have had in my life. Views from both the rooftop and outdoor seating on the main level are epic. Such an amazing way to enjoy the waterfront. I can't wait to return and try more things. Wheelchair access: no problem with entry from outside. There are indoor and outdoor elevators you can take to reach the rooftop level. The rooftop has one step down to the seating area but there is a gate on the side of the seating that a manager can unlock for wheelchair access. It requires asking people to move tables. Very poorly thought through as they could have either made the main entrance ramped or moved the tables to make area by the gate more accessible and left the gate open. One shouldn't have to wait for management to show up to simply access a seating area while disabled. I did not use the bathrooms so not sure of their accessibility."
Tyler L.,"New York, NY",3 star rating,"Jun 1, 2023","While exploring Brooklyn Bridge Park, we decided to check out the Time Out Market for the first time. It is a food court that is inside the historic Empire Stores Building, an old warehouse. While the building itself is impressive, the food court is nothing unique. It is very similar in selection and atmosphere to other recent food courts like Gotham West Market.The food court area is actually smaller than I expected given the size of the building. There is still a decent selection of various cuisines like Mexican, ramen, steaks, bagels, Indian and more. This is something I'd only go to if was a visitor to Brooklyn Bridge Park, as that area is relatively empty. For eats, I'd rather be at the more impressive and larger Chelsea Market than here."
R M.,"New York, NY",2 star rating,"Oct 11, 2023","I'm a local in this neighborhood and was happy to see the arrival of new food options beyond pizza/desserts... but the prices are absurd for what is essentially a glorified food court (that charges & expects you to tip like you're in a sit down restaurant). And the crowds/ongoing noise have tarnished what used to be a lovely, quaint block.It's purely for tourists and influencers doing a one time visit to enjoy some nearby waterfront views. You'll get a decent variety at least."
Bishal B.,"Manhattan, New York, NY",4 star rating,"Oct 7, 2023","Clinton St. Baking CompanyBlueberry Pancakes: Some of the best pancakes I've ever tasted. They were delightfully soft on the inside with a perfect texture on the outside.Service: Be prepared for a busy crowd, especially during peak hours, which might result in longer wait times for your order.Ambiance: Clinton St. Baking Company is part of the Time Out Market, so you may need to exercise patience while waiting for available seats."
Harris P.,"Pasadena, CA",4 star rating,"Sep 29, 2023","About 10 minutes walk from subway station.The day I visited was raining (really bad) so they closed the outdoor seating (first and fifth floor). I'm pretty sure the view of Manhattan city line and the bridge will be super nice if there's no rain.Most of food located in first floor, a lot of seating indoor and outdoor (connected to the waterfront), fifth floor has bar and pizza, sushi, cozy coach seating indoor plus great view outdoor patio seatings."
Jennifer R.,"Boston, MA",5 star rating,"Sep 23, 2023","The Timeout Market is a gem for anyone looking to satisfy their cravings. With its diverse lineup of food options, it's paradise under one roof. What's more, you can step outside to capture stunning photos, taking in the breathtaking view of the bridge.During my visit to Timeout Market New York, my partner and I had the pleasure of eating at Bark Barbecue, and we were absolutely smitten by the flavors. If you find yourself in the area, make sure to put this culinary haven on your must-visit list. You won't be disappointed! Also, Ruben the owner of Bark is very welcoming and kind. Support his busi"
Katey G.,"New York, NY",4 star rating,"Jul 16, 2023","Timeout Market continues to be a great destination in the Dumbo area.I do love the diversity of Time Out Market. Weather you want Indian, pancakes, pasta, or fried chicken - you can find it here.Most recently I got a pizza from Fornino, which is kind of f hidden on the top floor (there's also a little balcony rooftop that should not be missed). They had a seasonal corn pizza on the menu which was delicious - I really loved it. I also got the arancini which were disappointing, the aborillo rice inside was still crunchy :/ I believe they used to be served with a truffle aioli which I miss.What's cool about Time Out is that you can pickup food and sit at one of their two bars and order cocktails. We sat at the bar counter and enjoyed our food."
Melissa R.,"Claremont, CA",5 star rating,"Aug 12, 2023","A couple of friends and I visited New York earlier this year to celebrate my birthday. One of my friends had never been to NY before, so we decided she needed to see the Brooklyn Bridge, one of my favorite landmarks of the city. After a terrible rideshare driver decided not to leave us on the Manhattan side and instead dumped us off on the Brooklyn side, we decided to hang out in Brooklyn for a while. (Side note, I love Brooklyn, but we were short on time, so hanging out in Brooklyn wasn't part of the original itinerary, and we just wanted to walk on thr bridge from the Manhattan side, leaving it open to go to Brooklyn, only if we had time to spare.)Anyway, while we were stranded in Brooklyn trying to figure out the best way back, I stumbled upon Timeout Market. Being a lover of food halls, I dragged my friends inside to check it out, and we are so glad we did!I loved the amazing view of both bridges from their rooftop, the fact that you can enjoy a nice cocktail with this lovely view, and the variety of eateries! We decided to have lunch there, with each of us trying food from different vendors, and we were all pleased. I definitely plan to return the next time I visit Brooklyn!"
Ben L.,"Brooklyn, NY",4 star rating,"Oct 22, 2023",Lovely food court to come and spend a few hours in. Their rooftop is amazing. Unfortunately it was packed with foreigners so it's not the real New York vibe but aside from that it's a nice place to hang out in.
Andrea U.,"Boynton Beach, FL",5 star rating,"Aug 26, 2023","The market has really expanded into a huge indoor, outdoor and rooftop food hall. Everything imaginable from liquor to ice cream, sushi, barbecue... Lots of clean seating, helpful staff, and endless views of Manhattan and the Hudson River."
Anna P.,"Manhattan, NY",5 star rating,"Sep 3, 2023","This is now my favorite food hall in NYC! I absolutely love all the outdoor seating options and the quality of the vendors there. We started off with tofu pad Thai from Wayla, which was a 10/10. It was full of flavor and the noodles were fantastic.Then we had blueberry pancakes from Clinton Street Baking Co. I'm not exaggerating when I say these were the best pancakes I have had in my life. Views from both the rooftop and outdoor seating on the main level are epic. Such an amazing way to enjoy the waterfront. I can't wait to return and try more things. Wheelchair access: no problem with entry from outside. There are indoor and outdoor elevators you can take to reach the rooftop level. The rooftop has one step down to the seating area but there is a gate on the side of the seating that a manager can unlock for wheelchair access. It requires asking people to move tables. Very poorly thought through as they could have either made the main entrance ramped or moved the tables to make area by the gate more accessible and left the gate open. One shouldn't have to wait for management to show up to simply access a seating area while disabled. I did not use the bathrooms so not sure of their accessibility."
Tyler L.,"New York, NY",3 star rating,"Jun 1, 2023","While exploring Brooklyn Bridge Park, we decided to check out the Time Out Market for the first time. It is a food court that is inside the historic Empire Stores Building, an old warehouse. While the building itself is impressive, the food court is nothing unique. It is very similar in selection and atmosphere to other recent food courts like Gotham West Market.The food court area is actually smaller than I expected given the size of the building. There is still a decent selection of various cuisines like Mexican, ramen, steaks, bagels, Indian and more. This is something I'd only go to if was a visitor to Brooklyn Bridge Park, as that area is relatively empty. For eats, I'd rather be at the more impressive and larger Chelsea Market than here."
